time,Filename,abs_time,Tube,ToD,Day,Actinic_par,OD680,OD720
5,20250128_B2201_MCMIX004_123_0,2025-01-21T06:30:00Z,1,11,0,83.5016,0.03014,0.01096
6,20250128_B2201_MCMIX004_123_0,2025-01-21T06:36:00Z,1,12,0,89.5009,0.03216,0.01289
7,20250128_B2201_MCMIX004_123_0,2025-01-21T06:42:00Z,1,13,0,84.4998,0.03482,0.01408
8,20250128_B2201_MCMIX004_123_0,2025-01-21T06:48:00Z,1,14,0,68.4957,0.04242,0.01647
9,20250128_B2201_MCMIX004_123_0,2025-01-21T06:54:00Z,1,15,0,45.4974,0.05081,0.02986
10,20250128_B2201_MCMIX004_123_0,2025-01-21T07:00:00Z,1,16,0,22.5,0.04611,0.0222
11,20250128_B2201_MCMIX004_123_0,2025-01-21T07:06:00Z,1,17,0,6.4984,0.05032,0.02617
12,20250128_B2201_MCMIX004_123_0,2025-01-21T07:12:00Z,1,18,0,0.4991,0.04837,0.02494
13,20250128_B2201_MCMIX004_123_0,2025-01-21T07:18:00Z,1,19,1,0.4991,0.04402,0.03063
14,20250128_B2201_MCMIX004_123_0,2025-01-21T07:24:00Z,1,20,1,0.4991,0.04258,0.02235
15,20250128_B2201_MCMIX004_123_0,2025-01-21T07:30:00Z,1,21,1,0.4991,0.04162,0.02068
16,20250128_B2201_MCMIX004_123_0,2025-01-21T07:36:00Z,1,22,1,0.4991,0.04067,0.02053
17,20250128_B2201_MCMIX004_123_0,2025-01-21T07:42:00Z,1,23,1,0.4991,0.03813,0.01948
18,20250128_B2201_MCMIX004_123_0,2025-01-21T07:48:00Z,1,0,1,0.4991,0.03703,0.01872
20,20250128_B2201_MCMIX004_123_0,2025-01-21T08:00:00Z,1,2,1,0.4991,0.03561,0.01827
21,20250128_B2201_MCMIX004_123_0,2025-01-21T08:06:00Z,1,3,1,0.4991,0.0331,0.01632
22,20250128_B2201_MCMIX004_123_0,2025-01-21T08:12:00Z,1,4,1,0.4991,0.03185,0.01692
23,20250128_B2201_MCMIX004_123_0,2025-01-21T08:18:00Z,1,5,1,0.4991,0.02983,0.01467
24,20250128_B2201_MCMIX004_123_0,2025-01-21T08:24:00Z,1,6,1,0.4991,0.03232,0.01378
25,20250128_B2201_MCMIX004_123_0,2025-01-21T08:30:00Z,1,7,1,5.5002,0.02813,0.01303
26,20250128_B2201_MCMIX004_123_0,2025-01-21T08:36:00Z,1,8,1,22.5,0.02782,0.01289
27,20250128_B2201_MCMIX004_123_0,2025-01-21T08:42:00Z,1,9,1,44.5026,0.02797,0.01214
28,20250128_B2201_MCMIX004_123_0,2025-01-21T08:48:00Z,1,10,1,67.5,0.02921,0.01303
29,20250128_B2201_MCMIX004_123_0,2025-01-21T08:54:00Z,1,11,1,83.5016,0.02874,0.01452
30,20250128_B2201_MCMIX004_123_0,2025-01-21T09:00:00Z,1,12,1,89.5009,0.03154,0.01512
31,20250128_B2201_MCMIX004_123_0,2025-01-21T09:06:00Z,1,13,1,84.4998,0.03138,0.01482
32,20250128_B2201_MCMIX004_123_0,2025-01-21T09:12:00Z,1,14,1,68.4957,0.03263,0.01587
33,20250128_B2201_MCMIX004_123_0,2025-01-21T09:18:00Z,1,15,1,45.4974,0.05589,0.02571
34,20250128_B2201_MCMIX004_123_0,2025-01-21T09:24:00Z,1,16,1,22.5,0.0513,0.02586
35,20250128_B2201_MCMIX004_123_0,2025-01-21T09:30:00Z,1,17,1,6.4984,0.04935,0.0222
36,20250128_B2201_MCMIX004_123_0,2025-01-21T09:36:00Z,1,18,2,0.4991,0.04595,0.02099
37,20250128_B2201_MCMIX004_123_0,2025-01-21T09:42:00Z,1,19,2,0.4991,0.04531,0.02326
38,20250128_B2201_MCMIX004_123_0,2025-01-21T09:48:00Z,1,20,2,0.4991,0.04178,0.02099
39,20250128_B2201_MCMIX004_123_0,2025-01-21T09:54:00Z,1,21,2,0.4991,0.03876,0.01948
40,20250128_B2201_MCMIX004_123_0,2025-01-21T10:00:00Z,1,22,2,0.4991,0.03734,0.01993
41,20250128_B2201_MCMIX004_123_0,2025-01-21T10:06:00Z,1,23,2,0.4991,0.03545,0.01752
42,20250128_B2201_MCMIX004_123_0,2025-01-21T10:12:00Z,1,0,2,0.4991,0.03029,0.01452
43,20250128_B2201_MCMIX004_123_0,2025-01-21T10:18:00Z,1,1,2,0.4991,0.02689,0.01512
44,20250128_B2201_MCMIX004_123_0,2025-01-21T10:24:00Z,1,2,2,0.4991,0.02766,0.01467
45,20250128_B2201_MCMIX004_123_0,2025-01-21T10:30:00Z,1,3,2,0.4991,0.02704,0.012
46,20250128_B2201_MCMIX004_123_0,2025-01-21T10:36:00Z,1,4,2,0.4991,0.02336,0.01096
47,20250128_B2201_MCMIX004_123_0,2025-01-21T10:42:00Z,1,5,2,0.4991,0.02459,0.01303
48,20250128_B2201_MCMIX004_123_0,2025-01-21T10:48:00Z,1,6,2,0.4991,0.02001,0.01378
49,20250128_B2201_MCMIX004_123_0,2025-01-21T10:54:00Z,1,7,2,5.5002,0.02183,0.01155
50,20250128_B2201_MCMIX004_123_0,2025-01-21T11:00:00Z,1,8,2,22.5,0.02062,0.01007
51,20250128_B2201_MCMIX004_123_0,2025-01-21T11:06:00Z,1,9,2,44.5026,0.02535,0.01185
56,20250128_B2201_MCMIX004_123_0,2025-01-21T11:36:00Z,1,14,2,90.4974,0.0637,0.02724
57,20250128_B2201_MCMIX004_123_0,2025-01-21T11:42:00Z,1,15,2,60.4974,0.06876,0.03234
58,20250128_B2201_MCMIX004_123_0,2025-01-21T11:48:00Z,1,16,2,30.4926,0.06741,0.03079
59,20250128_B2201_MCMIX004_123_0,2025-01-21T11:54:00Z,1,17,2,8.4982,0.06538,0.03515
60,20250128_B2201_MCMIX004_123_0,2025-01-21T12:00:00Z,1,18,2,0.4997,0.05953,0.03218
61,20250128_B2201_MCMIX004_123_0,2025-01-21T12:06:00Z,1,19,3,0.4997,0.05953,0.02326
62,20250128_B2201_MCMIX004_123_0,2025-01-21T12:12:00Z,1,20,3,0.4997,0.05179,0.02632
63,20250128_B2201_MCMIX004_123_0,2025-01-21T12:18:00Z,1,21,3,0.4997,0.05457,0.02525
64,20250128_B2201_MCMIX004_123_0,2025-01-21T12:24:00Z,1,22,3,0.4997,0.0513,0.02311
65,20250128_B2201_MCMIX004_123_0,2025-01-21T12:30:00Z,1,23,3,0.4997,0.05936,0.02801
66,20250128_B2201_MCMIX004_123_0,2025-01-21T12:36:00Z,1,0,3,0.4997,0.05228,0.02663
67,20250128_B2201_MCMIX004_123_0,2025-01-21T12:42:00Z,1,1,3,0.4997,0.05457,0.02663
68,20250128_B2201_MCMIX004_123_0,2025-01-21T12:48:00Z,1,2,3,0.4997,0.05473,0.02525
69,20250128_B2201_MCMIX004_123_0,2025-01-21T12:54:00Z,1,3,3,0.4997,0.05441,0.02494
70,20250128_B2201_MCMIX004_123_0,2025-01-21T13:00:00Z,1,4,3,0.4997,0.05704,0.02235
71,20250128_B2201_MCMIX004_123_0,2025-01-21T13:06:00Z,1,5,3,0.4997,0.05655,0.03032
72,20250128_B2201_MCMIX004_123_0,2025-01-21T13:12:00Z,1,6,3,0.4997,0.05721,0.02786
73,20250128_B2201_MCMIX004_123_0,2025-01-21T13:18:00Z,1,7,3,7.5017,0.06454,0.02955
75,20250128_B2201_MCMIX004_123_0,2025-01-21T13:30:00Z,1,9,3,59.5026,0.06639,0.03048
76,20250128_B2201_MCMIX004_123_0,2025-01-21T13:36:00Z,1,10,3,89.5074,0.07457,0.03577
77,20250128_B2201_MCMIX004_123_0,2025-01-21T13:42:00Z,1,11,3,111.5018,0.08098,0.04464
78,20250128_B2201_MCMIX004_123_0,2025-01-21T13:48:00Z,1,12,3,119.5003,0.08572,0.03939
79,20250128_B2201_MCMIX004_123_0,2025-01-21T13:54:00Z,1,13,3,112.4983,0.09338,0.04384
80,20250128_B2201_MCMIX004_123_0,2025-01-21T14:00:00Z,1,14,3,90.4974,0.09916,0.05581
81,20250128_B2201_MCMIX004_123_0,2025-01-21T14:06:00Z,1,15,3,60.4974,0.10780000000000001,0.05581
82,20250128_B2201_MCMIX004_123_0,2025-01-21T14:12:00Z,1,16,3,30.4926,0.12697,0.0656
83,20250128_B2201_MCMIX004_123_0,2025-01-21T14:18:00Z,1,17,3,8.4982,0.10669,0.07322
84,20250128_B2201_MCMIX004_123_0,2025-01-21T14:24:00Z,1,18,4,0.4997,0.11322,0.05713
85,20250128_B2201_MCMIX004_123_0,2025-01-21T14:30:00Z,1,19,4,0.4997,0.11454,0.06209
86,20250128_B2201_MCMIX004_123_0,2025-01-21T14:36:00Z,1,20,4,0.4997,0.10687,0.06309
87,20250128_B2201_MCMIX004_123_0,2025-01-21T14:42:00Z,1,21,4,0.4997,0.10929,0.0493
88,20250128_B2201_MCMIX004_123_0,2025-01-21T14:48:00Z,1,22,4,0.4997,0.12061,0.05812
89,20250128_B2201_MCMIX004_123_0,2025-01-21T14:54:00Z,1,23,4,0.4997,0.1065,0.05795
90,20250128_B2201_MCMIX004_123_0,2025-01-21T15:00:00Z,1,0,4,0.4997,0.10263,0.05287
91,20250128_B2201_MCMIX004_123_0,2025-01-21T15:06:00Z,1,1,4,0.4997,0.1041,0.05401
93,20250128_B2201_MCMIX004_123_0,2025-01-21T15:18:00Z,1,3,4,0.4997,0.10172,0.05385
94,20250128_B2201_MCMIX004_123_0,2025-01-21T15:24:00Z,1,4,4,0.4997,0.11209,0.0568
95,20250128_B2201_MCMIX004_123_0,2025-01-21T15:30:00Z,1,5,4,0.4997,0.10948,0.05532
96,20250128_B2201_MCMIX004_123_0,2025-01-21T15:36:00Z,1,6,4,0.4997,0.11228,0.05795
97,20250128_B2201_MCMIX004_123_0,2025-01-21T15:42:00Z,1,7,4,7.5017,0.11397,0.06259
98,20250128_B2201_MCMIX004_123_0,2025-01-21T15:48:00Z,1,8,4,29.5026,0.11795,0.05845
99,20250128_B2201_MCMIX004_123_0,2025-01-21T15:54:00Z,1,9,4,59.5026,0.11492,0.05631
100,20250128_B2201_MCMIX004_123_0,2025-01-21T16:00:00Z,1,10,4,89.5074,0.1151,0.05828
101,20250128_B2201_MCMIX004_123_0,2025-01-21T16:06:00Z,1,11,4,111.5018,0.13126,0.06276
102,20250128_B2201_MCMIX004_123_0,2025-01-21T16:12:00Z,1,12,4,119.5003,0.12407,0.06093
